Date,Price
08/12/2021,"1,020.10"
08/11/2021,"1,017.90"
08/10/2021,989.2
08/09/2021,973.6
08/08/2021,956.95
08/06/2021,974.9
08/05/2021,"1,008.40"
08/04/2021,"1,024.10"
08/03/2021,"1,049.90"
08/02/2021,"1,058.90"
08/01/2021,"1,051.75"
07/30/2021,"1,051.50"
07/29/2021,"1,070.60"
07/28/2021,"1,058.10"
07/27/2021,"1,049.50"
07/26/2021,"1,070.00"
07/25/2021,"1,062.00"
07/23/2021,"1,061.40"
07/22/2021,"1,090.60"
07/21/2021,"1,075.30"
07/20/2021,"1,065.20"
07/19/2021,"1,071.40"
07/18/2021,"1,104.20"
07/16/2021,"1,108.50"
07/15/2021,"1,137.70"
07/14/2021,"1,128.10"
07/13/2021,"1,111.20"
07/12/2021,"1,123.00"
07/11/2021,"1,096.00"
07/09/2021,"1,095.70"
07/08/2021,"1,074.50"
07/07/2021,"1,081.90"
07/06/2021,"1,084.00"
07/05/2021,"1,101.90"
07/02/2021,"1,087.70"
07/01/2021,"1,080.90"
06/30/2021,"1,072.90"
06/29/2021,"1,070.60"
06/28/2021,"1,099.20"
06/27/2021,"1,114.70"
06/25/2021,"1,105.70"
06/24/2021,"1,096.10"
06/23/2021,"1,089.50"
06/22/2021,"1,072.90"
06/21/2021,"1,054.10"
06/20/2021,"1,039.10"
06/18/2021,"1,045.20"
06/17/2021,"1,059.10"
06/16/2021,"1,145.90"
06/15/2021,"1,152.70"
06/14/2021,"1,169.20"
06/13/2021,"1,144.15"
06/11/2021,"1,155.00"
06/10/2021,"1,150.10"
06/09/2021,"1,155.70"
06/08/2021,"1,166.40"
06/07/2021,"1,178.80"
06/06/2021,"1,170.60"
06/04/2021,"1,168.50"
06/03/2021,"1,166.60"
06/02/2021,"1,196.70"
06/01/2021,"1,203.80"
05/31/2021,"1,193.40"
05/30/2021,"1,187.45"
05/28/2021,"1,186.60"
05/27/2021,"1,183.40"
05/26/2021,"1,201.60"
05/25/2021,"1,201.00"
05/24/2021,"1,181.60"
05/23/2021,"1,174.60"
05/21/2021,"1,173.40"
05/20/2021,"1,208.50"
05/19/2021,"1,205.00"
05/18/2021,"1,228.70"
05/17/2021,"1,247.90"
05/16/2021,"1,231.40"
05/14/2021,"1,226.10"
05/13/2021,"1,209.70"
05/12/2021,"1,229.20"
05/11/2021,"1,244.80"
05/10/2021,"1,269.00"
05/09/2021,"1,261.25"
05/07/2021,"1,257.90"
05/06/2021,"1,260.90"
05/05/2021,"1,232.30"
05/04/2021,"1,235.30"
05/03/2021,"1,233.60"
05/02/2021,"1,203.20"
04/30/2021,"1,208.70"
04/29/2021,"1,201.10"
04/28/2021,"1,212.20"
04/27/2021,"1,249.50"
04/26/2021,"1,245.20"
04/25/2021,"1,236.00"
04/23/2021,"1,233.10"
04/22/2021,"1,208.50"
04/21/2021,"1,214.70"
04/20/2021,"1,196.30"
04/19/2021,"1,206.50"
04/18/2021,"1,205.35"
04/16/2021,"1,208.70"
04/15/2021,"1,200.20"
04/14/2021,"1,177.40"
04/13/2021,"1,157.10"
04/12/2021,"1,174.80"
04/11/2021,"1,207.40"
04/09/2021,"1,209.30"
04/08/2021,"1,235.40"
04/07/2021,"1,231.90"
04/06/2021,"1,240.50"
04/05/2021,"1,209.80"
04/04/2021,"1,220.90"
04/01/2021,"1,208.60"
03/31/2021,"1,191.50"
03/30/2021,"1,160.60"
03/29/2021,"1,183.40"
03/28/2021,"1,190.50"
03/26/2021,"1,181.70"
03/25/2021,"1,158.50"
03/24/2021,"1,184.80"
03/23/2021,"1,178.80"
03/22/2021,"1,188.10"
03/21/2021,"1,188.00"
03/19/2021,"1,204.10"
03/18/2021,"1,221.60"
03/17/2021,"1,203.60"
03/16/2021,"1,223.40"
03/15/2021,"1,213.90"
03/14/2021,"1,206.80"
03/12/2021,"1,204.40"
